year,country,state,month,number,date
2013,Brazil,Rondonia,Jun,22,1/1/2013
1999,Brazil,Santa Catarina,Oct,16,1/1/1999
2015,Brazil,Santa Catarina,Jan,28,1/1/2015
2008,Brazil,Piau,Jul,97,1/1/2008
2016,Brazil,Rio,Jan,15,1/1/2016
1999,Brazil,Ceara,Sep,124,1/1/1999
2002,Brazil,Rondonia,Mar,1,1/1/2002
1998,Brazil,Sao Paulo,Apr,0,1/1/1998
2014,Brazil,Piau,Nov,717,1/1/2014
2015,Brazil,Minas Gerais,May,114,1/1/2015
2007,Brazil,Roraima,Mar,665,1/1/2007
2007,Brazil,Santa Catarina,Apr,2,1/1/2007
2011,Brazil,Bahia,Apr,149,1/1/2011
2000,Brazil,Piau,Apr,15,1/1/2000
2015,Brazil,Rio,May,169,1/1/2015
1998,Brazil,Amapa,Sep,20,1/1/1998
2014,Brazil,Pernambuco,Jun,3,1/1/2014
2002,Brazil,Minas Gerais,Apr,99,1/1/2002
2017,Brazil,Roraima,Jun,4,1/1/2017
2006,Brazil,Goias,Dez,0,1/1/2006
2012,Brazil,Sao Paulo,Sep,813,1/1/2012
2016,Brazil,Sao Paulo,Jun,197,1/1/2016
2014,Brazil,Sergipe,Jun,0,1/1/2014
2008,Brazil,Mato Grosso,Oct,432,1/1/2008
2011,Brazil,Para,May,16,1/1/2011
2003,Brazil,Amazonas,Apr,11,1/1/2003
2001,Brazil,Para,Mar,0,1/1/2001
1999,Brazil,Mato Grosso,Feb,69,1/1/1999
1999,Brazil,Mato Grosso,Dez,306,1/1/1999
2000,Brazil,Para,Apr,40,1/1/2000
2007,Brazil,Rio,Feb,15,1/1/2007
2008,Brazil,Paraiba,Jul,87,1/1/2008
2002,Brazil,Mato Grosso,Nov,2905,1/1/2002
2016,Brazil,Sergipe,Jun,1,1/1/2016
2008,Brazil,Piau,Sep,1472,1/1/2008
1998,Brazil,Distrito Federal,Dez,0,1/1/1998
2000,Brazil,Rio,May,5,1/1/2000
1999,Brazil,Sergipe,Feb,25,1/1/1999
2008,Brazil,Paraiba,Jun,0,1/1/2008
