year,country,state,month,number,date
2009,Brazil,Paraiba,Mar,2,1/1/2009
2014,Brazil,Minas Gerais,Sep,3454,1/1/2014
1998,Brazil,Acre,Apr,0,1/1/1998
2006,Brazil,Rio,Jan,93,1/1/2006
2016,Brazil,Ceara,Sep,370,1/1/2016
2010,Brazil,Distrito Federal,Apr,8,1/1/2010
2008,Brazil,Bahia,Oct,7691,1/1/2008
2000,Brazil,Acre,Jul,1,1/1/2000
2004,Brazil,Para,Dez,5508,1/1/2004
1998,Brazil,Ceara,Dez,276,1/1/1998
2008,Brazil,Alagoas,Aug,1,1/1/2008
2004,Brazil,Espirito Santo,Mar,3,1/1/2004
2002,Brazil,Amazonas,May,8,1/1/2002
2000,Brazil,Pernambuco,May,7,1/1/2000
1999,Brazil,Rondonia,May,3,1/1/1999
2002,Brazil,Alagoas,Feb,15,1/1/2002
2013,Brazil,Goias,Oct,606,1/1/2013
2010,Brazil,Goias,Mar,65,1/1/2010
2002,Brazil,Santa Catarina,Apr,7,1/1/2002
1999,Brazil,Minas Gerais,Jun,132,1/1/1999
2007,Brazil,Tocantins,Apr,22,1/1/2007
2017,Brazil,Distrito Federal,Jan,1,1/1/2017
2014,Brazil,Maranhao,Mar,59,1/1/2014
2000,Brazil,Bahia,May,71,1/1/2000
2010,Brazil,Minas Gerais,Jan,118,1/1/2010
2008,Brazil,Minas Gerais,Oct,3787,1/1/2008
2003,Brazil,Sao Paulo,Feb,137,1/1/2003
2002,Brazil,Amazonas,Feb,2,1/1/2002
2007,Brazil,Espirito Santo,May,1,1/1/2007
2017,Brazil,Paraiba,Jul,2,1/1/2017
2004,Brazil,Minas Gerais,Jun,209,1/1/2004
2016,Brazil,Bahia,Jan,285,1/1/2016
2007,Brazil,Rio,Nov,13,1/1/2007
2005,Brazil,Amazonas,Mar,12,1/1/2005
2007,Brazil,Ceara,Jul,11,1/1/2007
2010,Brazil,Mato Grosso,Apr,769,1/1/2010
2005,Brazil,Para,Aug,13055,1/1/2005
2003,Brazil,Bahia,Oct,4264,1/1/2003
2003,Brazil,Acre,Apr,1,1/1/2003
2006,Brazil,Mato Grosso,Dez,23,1/1/2006
2006,Brazil,Rio,Feb,21,1/1/2006
2006,Brazil,Amapa,Sep,112,1/1/2006
2009,Brazil,Paraiba,May,117,1/1/2009
2011,Brazil,Amapa,May,2,1/1/2011
2008,Brazil,Acre,May,0,1/1/2008
2008,Brazil,Piau,Apr,7,1/1/2008
2006,Brazil,Para,Jul,615,1/1/2006
2002,Brazil,Roraima,Jul,7,1/1/2002
1998,Brazil,Paraiba,Jul,0,1/1/1998
2014,Brazil,Paraiba,Mar,42,1/1/2014
2008,Brazil,Piau,Oct,183,1/1/2008
2003,Brazil,Roraima,Jun,0,1/1/2003
2000,Brazil,Amapa,Mar,0,1/1/2000
2015,Brazil,Acre,Jul,109,1/1/2015
2016,Brazil,Sergipe,Nov,17,1/1/2016
2009,Brazil,Alagoas,Feb,32,1/1/2009
2009,Brazil,Rio,Nov,4,1/1/2009
2015,Brazil,Paraiba,Jun,201,1/1/2015
2010,Brazil,Roraima,Nov,27,1/1/2010
1999,Brazil,Piau,Jan,21,1/1/1999
2016,Brazil,Paraiba,Feb,31,1/1/2016
2006,Brazil,Para,Apr,2,1/1/2006
2011,Brazil,Paraiba,Oct,256,1/1/2011
2005,Brazil,Maranhao,Sep,6292,1/1/2005
2004,Brazil,Tocantins,Mar,23,1/1/2004
2007,Brazil,Maranhao,Dez,800,1/1/2007
2012,Brazil,Rio,Jan,72,1/1/2012
2012,Brazil,Distrito Federal,Jul,29,1/1/2012
1998,Brazil,Sergipe,Nov,12,1/1/1998
2013,Brazil,Espirito Santo,Mar,13,1/1/2013
2003,Brazil,Rio,Mar,23,1/1/2003
2006,Brazil,Rondonia,Aug,3124,1/1/2006
2004,Brazil,Sao Paulo,May,60,1/1/2004
2002,Brazil,Para,May,18,1/1/2002
2011,Brazil,Rio,May,0,1/1/2011
2002,Brazil,Paraiba,Nov,425,1/1/2002
2001,Brazil,Santa Catarina,Jul,5,1/1/2001
2008,Brazil,Rio,Feb,30,1/1/2008
2013,Brazil,Pernambuco,Sep,143,1/1/2013
2011,Brazil,Bahia,Mar,90,1/1/2011
2002,Brazil,Ceara,Nov,2715,1/1/2002
2001,Brazil,Piau,Jan,29,1/1/2001
2013,Brazil,Para,May,42,1/1/2013
2004,Brazil,Pernambuco,Sep,192,1/1/2004
2004,Brazil,Alagoas,Feb,7,1/1/2004
2016,Brazil,Mato Grosso,Oct,2749,1/1/2016
2017,Brazil,Minas Gerais,Sep,4697,1/1/2017
2013,Brazil,Pernambuco,Nov,110,1/1/2013
2006,Brazil,Rondonia,May,7,1/1/2006
2015,Brazil,Roraima,Aug,11,1/1/2015
2002,Brazil,Amazonas,Nov,259,1/1/2002
2013,Brazil,Piau,May,40,1/1/2013
2008,Brazil,Piau,May,12,1/1/2008
2016,Brazil,Mato Grosso,May,1081,1/1/2016
1999,Brazil,Tocantins,Mar,1,1/1/1999
2005,Brazil,Rio,Jun,0,1/1/2005
2013,Brazil,Acre,Jan,0,1/1/2013
2017,Brazil,Rio,Aug,164,1/1/2017
1999,Brazil,Ceara,Nov,524,1/1/1999
2001,Brazil,Pernambuco,Jul,6,1/1/2001
2005,Brazil,Amapa,Apr,0,1/1/2005
2005,Brazil,Rio,Nov,12,1/1/2005
2016,Brazil,Tocantins,Mar,165,1/1/2016
2003,Brazil,Alagoas,Mar,15,1/1/2003
2010,Brazil,Mato Grosso,Feb,431,1/1/2010
2017,Brazil,Sao Paulo,Nov,37,1/1/2017
2009,Brazil,Sergipe,Jun,2,1/1/2009
2014,Brazil,Rio,Mar,38,1/1/2014
2000,Brazil,Santa Catarina,Jul,21,1/1/2000
1998,Brazil,Para,Sep,6237,1/1/1998
2009,Brazil,Alagoas,Aug,0,1/1/2009
2008,Brazil,Maranhao,Nov,2331,1/1/2008
2010,Brazil,Para,Nov,4417,1/1/2010
2005,Brazil,Mato Grosso,May,328,1/1/2005
2015,Brazil,Alagoas,Aug,3,1/1/2015
2003,Brazil,Goias,Mar,29,1/1/2003
2006,Brazil,Maranhao,Nov,2004,1/1/2006
2001,Brazil,Sergipe,May,3,1/1/2001
2017,Brazil,Distrito Federal,Nov,0,1/1/2017
2009,Brazil,Para,Aug,3859,1/1/2009
2017,Brazil,Mato Grosso,May,72,1/1/2017
2011,Brazil,Distrito Federal,Jul,53,1/1/2011
2016,Brazil,Mato Grosso,Dez,425,1/1/2016
2002,Brazil,Para,Jan,144,1/1/2002
2004,Brazil,Pernambuco,Apr,5,1/1/2004
2003,Brazil,Sergipe,May,2,1/1/2003
2008,Brazil,Paraiba,Nov,175,1/1/2008
1998,Brazil,Rio,Nov,28,1/1/1998
2006,Brazil,Ceara,Mar,3,1/1/2006
1999,Brazil,Sergipe,Nov,3,1/1/1999
2016,Brazil,Alagoas,Dez,155,1/1/2016
2002,Brazil,Para,Mar,14,1/1/2002
2012,Brazil,Distrito Federal,Feb,0,1/1/2012
2004,Brazil,Goias,Apr,32,1/1/2004
2004,Brazil,Bahia,Sep,6433,1/1/2004
2014,Brazil,Paraiba,Feb,52,1/1/2014
2015,Brazil,Minas Gerais,Feb,84,1/1/2015
2016,Brazil,Rondonia,Nov,401,1/1/2016
2011,Brazil,Amapa,Apr,0,1/1/2011
2001,Brazil,Paraiba,Jan,32,1/1/2001
2002,Brazil,Alagoas,Jun,0,1/1/2002
2012,Brazil,Bahia,Jun,385,1/1/2012
2001,Brazil,Mato Grosso,Jul,591,1/1/2001
2006,Brazil,Distrito Federal,Oct,1,1/1/2006
2005,Brazil,Alagoas,Mar,35,1/1/2005
2013,Brazil,Sergipe,Jul,0,1/1/2013
2007,Brazil,Mato Grosso,Apr,79,1/1/2007
2013,Brazil,Ceara,Jun,5,1/1/2013
2009,Brazil,Minas Gerais,Oct,1013,1/1/2009
2014,Brazil,Maranhao,May,148,1/1/2014
2005,Brazil,Mato Grosso,Sep,20551,1/1/2005
2009,Brazil,Sergipe,Aug,0,1/1/2009
2015,Brazil,Bahia,May,144,1/1/2015
2000,Brazil,Sao Paulo,Jun,606,1/1/2000
2005,Brazil,Santa Catarina,Nov,384,1/1/2005
2002,Brazil,Distrito Federal,Jun,7,1/1/2002
2010,Brazil,Pernambuco,Feb,33,1/1/2010
2005,Brazil,Acre,Mar,3,1/1/2005
2002,Brazil,Paraiba,Aug,38,1/1/2002
2008,Brazil,Rio,Jan,70,1/1/2008
2003,Brazil,Distrito Federal,Dez,0,1/1/2003
2014,Brazil,Sao Paulo,Jun,331,1/1/2014
2016,Brazil,Amapa,Jul,1,1/1/2016
2012,Brazil,Rondonia,Jun,32,1/1/2012
2002,Brazil,Roraima,Apr,41,1/1/2002
2012,Brazil,Ceara,Sep,609,1/1/2012
2005,Brazil,Espirito Santo,Feb,1,1/1/2005
2009,Brazil,Roraima,Aug,29,1/1/2009
2007,Brazil,Mato Grosso,Mar,137,1/1/2007
2005,Brazil,Pernambuco,Aug,10,1/1/2005
2017,Brazil,Goias,Jul,577,1/1/2017
2000,Brazil,Paraiba,Oct,125,1/1/2000
2011,Brazil,Paraiba,May,97,1/1/2011
2014,Brazil,Amazonas,Mar,50,1/1/2014
2014,Brazil,Mato Grosso,Jul,193,1/1/2014
2006,Brazil,Amazonas,Feb,10,1/1/2006
2015,Brazil,Mato Grosso,Aug,5112,1/1/2015
2010,Brazil,Para,Jan,437,1/1/2010
2009,Brazil,Piau,Jul,302,1/1/2009
2000,Brazil,Para,Mar,181,1/1/2000
2007,Brazil,Pernambuco,Jul,3,1/1/2007
2008,Brazil,Para,May,0,1/1/2008
2002,Brazil,Sao Paulo,Mar,111,1/1/2002
2009,Brazil,Maranhao,Jul,972,1/1/2009
2007,Brazil,Sergipe,Jan,56,1/1/2007
2017,Brazil,Alagoas,Apr,7,1/1/2017
2001,Brazil,Mato Grosso,Feb,54,1/1/2001
2016,Brazil,Amazonas,Mar,140,1/1/2016
2009,Brazil,Mato Grosso,Jun,979,1/1/2009
2006,Brazil,Mato Grosso,Nov,83,1/1/2006
1999,Brazil,Ceara,May,5,1/1/1999
2001,Brazil,Acre,May,0,1/1/2001
2012,Brazil,Bahia,Sep,7495,1/1/2012
2012,Brazil,Ceara,Feb,41,1/1/2012
1998,Brazil,Minas Gerais,May,0,1/1/1998
2015,Brazil,Maranhao,Jun,887,1/1/2015
2003,Brazil,Mato Grosso,Nov,2097,1/1/2003
2014,Brazil,Amapa,Jun,0,1/1/2014
1998,Brazil,Goias,Jul,512,1/1/1998
2008,Brazil,Roraima,Mar,422,1/1/2008
2010,Brazil,Sergipe,Jul,0,1/1/2010
2010,Brazil,Mato Grosso,Dez,846,1/1/2010
2016,Brazil,Distrito Federal,Apr,5,1/1/2016
2007,Brazil,Bahia,Feb,113,1/1/2007
2011,Brazil,Mato Grosso,Aug,552,1/1/2011
2006,Brazil,Goias,Jan,85,1/1/2006
2003,Brazil,Paraiba,May,115,1/1/2003
2002,Brazil,Santa Catarina,Jun,0,1/1/2002
2013,Brazil,Mato Grosso,Aug,3568,1/1/2013
2003,Brazil,Piau,Feb,3,1/1/2003
2014,Brazil,Paraiba,Jan,86,1/1/2014
1998,Brazil,Amazonas,Mar,0,1/1/1998
2009,Brazil,Alagoas,Sep,13,1/1/2009
2017,Brazil,Pernambuco,Sep,69,1/1/2017
2016,Brazil,Rio,Jul,13,1/1/2016
2015,Brazil,Mato Grosso,Dez,394,1/1/2015
2004,Brazil,Piau,Jun,239,1/1/2004
2016,Brazil,Piau,Nov,1126,1/1/2016
2000,Brazil,Ceara,Jun,16,1/1/2000
2010,Brazil,Sao Paulo,Sep,1677,1/1/2010
2003,Brazil,Amazonas,Jan,158,1/1/2003
2015,Brazil,Rio,Apr,4,1/1/2015
2013,Brazil,Sergipe,May,1,1/1/2013
2009,Brazil,Tocantins,Jun,421,1/1/2009
2011,Brazil,Acre,Jan,0,1/1/2011
2001,Brazil,Rio,Nov,4,1/1/2001
2001,Brazil,Distrito Federal,Feb,1,1/1/2001
2006,Brazil,Minas Gerais,Jul,336,1/1/2006
2010,Brazil,Pernambuco,Jan,47,1/1/2010
2014,Brazil,Tocantins,May,618,1/1/2014
2014,Brazil,Pernambuco,Jan,99,1/1/2014
2014,Brazil,Pernambuco,Aug,23,1/1/2014
2004,Brazil,Paraiba,Jul,148,1/1/2004
2006,Brazil,Distrito Federal,Apr,0,1/1/2006
2008,Brazil,Goias,Sep,1255,1/1/2008
2017,Brazil,Para,Jul,4985,1/1/2017
2017,Brazil,Paraiba,Sep,30,1/1/2017
2017,Brazil,Acre,Oct,1508,1/1/2017
2012,Brazil,Amapa,Nov,969,1/1/2012
1998,Brazil,Piau,Jan,0,1/1/1998
2016,Brazil,Alagoas,Apr,13,1/1/2016
1999,Brazil,Para,Nov,2682,1/1/1999
2014,Brazil,Distrito Federal,Dez,0,1/1/2014
2012,Brazil,Sergipe,Jan,39,1/1/2012
2015,Brazil,Minas Gerais,Mar,80,1/1/2015
2015,Brazil,Amazonas,Jul,356,1/1/2015
2010,Brazil,Goias,May,239,1/1/2010
2001,Brazil,Rio,Jan,2,1/1/2001
2007,Brazil,Rio,Jan,0,1/1/2007
2001,Brazil,Distrito Federal,Jun,3,1/1/2001
2001,Brazil,Paraiba,Sep,98,1/1/2001
2003,Brazil,Acre,Oct,740,1/1/2003
2002,Brazil,Rio,Apr,0,1/1/2002
2005,Brazil,Mato Grosso,Nov,1368,1/1/2005
2015,Brazil,Sergipe,Jun,3,1/1/2015
2013,Brazil,Goias,Sep,684,1/1/2013
2016,Brazil,Minas Gerais,Feb,207,1/1/2016
2014,Brazil,Distrito Federal,Aug,99,1/1/2014
2004,Brazil,Santa Catarina,Apr,59,1/1/2004
2011,Brazil,Tocantins,Nov,144,1/1/2011
2015,Brazil,Tocantins,Oct,4844,1/1/2015
2011,Brazil,Ceara,Jul,18,1/1/2011
2006,Brazil,Rio,Feb,34,1/1/2006
2004,Brazil,Rio,May,4,1/1/2004
2013,Brazil,Rio,Nov,77,1/1/2013
2013,Brazil,Paraiba,May,85,1/1/2013
2012,Brazil,Sao Paulo,Apr,82,1/1/2012
2014,Brazil,Distrito Federal,Mar,1,1/1/2014
2004,Brazil,Mato Grosso,Mar,743,1/1/2004
2001,Brazil,Paraiba,Dez,85,1/1/2001
2002,Brazil,Minas Gerais,Mar,62,1/1/2002
2001,Brazil,Paraiba,Mar,12,1/1/2001
2011,Brazil,Alagoas,Mar,34,1/1/2011
2012,Brazil,Alagoas,Jun,4,1/1/2012
2017,Brazil,Distrito Federal,May,6,1/1/2017
2017,Brazil,Bahia,Sep,1791,1/1/2017
2006,Brazil,Ceara,Apr,1,1/1/2006
2001,Brazil,Rio,Jan,12,1/1/2001
2000,Brazil,Roraima,May,7,1/1/2000
2012,Brazil,Para,Dez,1812,1/1/2012
2003,Brazil,Minas Gerais,Feb,126,1/1/2003
2004,Brazil,Amapa,Sep,67,1/1/2004
2011,Brazil,Mato Grosso,Feb,119,1/1/2011
2011,Brazil,Acre,Nov,74,1/1/2011
2013,Brazil,Para,Feb,30,1/1/2013
2005,Brazil,Sergipe,Feb,19,1/1/2005
2017,Brazil,Goias,Sep,3238,1/1/2017
2011,Brazil,Rio,Oct,74,1/1/2011
2002,Brazil,Ceara,Oct,1606,1/1/2002
2003,Brazil,Bahia,May,106,1/1/2003
2008,Brazil,Amapa,Feb,0,1/1/2008
2005,Brazil,Goias,Jul,363,1/1/2005
2004,Brazil,Espirito Santo,Sep,47,1/1/2004
2013,Brazil,Mato Grosso,Feb,375,1/1/2013
2001,Brazil,Para,Jun,42,1/1/2001
1999,Brazil,Amazonas,Dez,2,1/1/1999
2006,Brazil,Goias,Feb,21,1/1/2006
2012,Brazil,Sergipe,Jun,3,1/1/2012
2008,Brazil,Rio,Jul,0,1/1/2008
2008,Brazil,Rondonia,Nov,78,1/1/2008
2015,Brazil,Mato Grosso,Dez,1777,1/1/2015
2000,Brazil,Mato Grosso,Jul,160,1/1/2000
1999,Brazil,Roraima,Sep,3,1/1/1999
2005,Brazil,Tocantins,Aug,184,1/1/2005
2017,Brazil,Rio,Jan,28,1/1/2017
2004,Brazil,Santa Catarina,Nov,279,1/1/2004
2014,Brazil,Amapa,Jul,4,1/1/2014
2016,Brazil,Distrito Federal,Jul,79,1/1/2016
2002,Brazil,Pernambuco,Mar,24,1/1/2002
2017,Brazil,Sao Paulo,Jan,28,1/1/2017
2016,Brazil,Amapa,May,1,1/1/2016
2010,Brazil,Rondonia,Oct,1307,1/1/2010
1999,Brazil,Ceara,Aug,131,1/1/1999
2001,Brazil,Mato Grosso,Aug,7762,1/1/2001
2004,Brazil,Minas Gerais,Nov,914,1/1/2004
2001,Brazil,Alagoas,Jan,5,1/1/2001
2015,Brazil,Para,Sep,11068,1/1/2015
2006,Brazil,Tocantins,Aug,1277,1/1/2006
2016,Brazil,Rio,Mar,30,1/1/2016
2007,Brazil,Rio,Jan,37,1/1/2007
2010,Brazil,Rio,Jun,4,1/1/2010
2010,Brazil,Goias,Sep,5075,1/1/2010
2009,Brazil,Rio,May,37,1/1/2009
2017,Brazil,Mato Grosso,Nov,813,1/1/2017
2017,Brazil,Mato Grosso,Apr,59,1/1/2017
2004,Brazil,Piau,Dez,788,1/1/2004
2000,Brazil,Distrito Federal,Jan,0,1/1/2000
2005,Brazil,Pernambuco,Sep,154,1/1/2005
2001,Brazil,Rio,Jan,0,1/1/2001
2004,Brazil,Espirito Santo,Oct,48,1/1/2004
2001,Brazil,Para,Jul,708,1/1/2001
2011,Brazil,Paraiba,Mar,6,1/1/2011
2015,Brazil,Rio,Nov,6,1/1/2015
2010,Brazil,Para,Aug,1813,1/1/2010
2000,Brazil,Piau,Aug,415,1/1/2000
1998,Brazil,Amapa,Jun,0,1/1/1998
2003,Brazil,Pernambuco,Nov,560,1/1/2003
2010,Brazil,Alagoas,Sep,5,1/1/2010
2000,Brazil,Mato Grosso,May,1194,1/1/2000
2008,Brazil,Acre,Jan,0,1/1/2008
2015,Brazil,Sao Paulo,Jan,120,1/1/2015
2016,Brazil,Piau,Feb,97,1/1/2016
2004,Brazil,Distrito Federal,Jan,0,1/1/2004
2000,Brazil,Minas Gerais,May,67,1/1/2000
1998,Brazil,Mato Grosso,Jan,0,1/1/1998
1998,Brazil,Bahia,Jul,219,1/1/1998
2015,Brazil,Rio,Jun,33,1/1/2015
2014,Brazil,Rio,Aug,1168,1/1/2014
1999,Brazil,Distrito Federal,Nov,1,1/1/1999
2003,Brazil,Mato Grosso,Dez,153,1/1/2003
2008,Brazil,Sao Paulo,May,40,1/1/2008
2008,Brazil,Mato Grosso,Jul,116,1/1/2008
2000,Brazil,Santa Catarina,Apr,7,1/1/2000
2014,Brazil,Rondonia,Aug,3038,1/1/2014
2010,Brazil,Piau,Oct,3863,1/1/2010
2011,Brazil,Sergipe,Jun,1,1/1/2011
2001,Brazil,Rio,Apr,3,1/1/2001
2013,Brazil,Acre,May,4,1/1/2013
2011,Brazil,Rio,Mar,7,1/1/2011
2004,Brazil,Mato Grosso,Nov,2405,1/1/2004
2014,Brazil,Amazonas,Sep,3057,1/1/2014
2007,Brazil,Rio,Jul,7,1/1/2007
2006,Brazil,Minas Gerais,Jan,109,1/1/2006
2005,Brazil,Amapa,Jan,109,1/1/2005
2010,Brazil,Paraiba,Mar,16,1/1/2010
2002,Brazil,Santa Catarina,Mar,12,1/1/2002
2009,Brazil,Goias,Mar,32,1/1/2009
2012,Brazil,Alagoas,Sep,6,1/1/2012
2001,Brazil,Alagoas,Apr,0,1/1/2001
2015,Brazil,Amazonas,Feb,107,1/1/2015
2016,Brazil,Maranhao,Nov,3982,1/1/2016
2012,Brazil,Mato Grosso,Aug,6195,1/1/2012
1999,Brazil,Pernambuco,Oct,180,1/1/1999
2008,Brazil,Espirito Santo,Mar,5,1/1/2008
2001,Brazil,Espirito Santo,Jan,1,1/1/2001
2006,Brazil,Rio,Jul,45,1/1/2006
2016,Brazil,Sao Paulo,Oct,177,1/1/2016
2001,Brazil,Sergipe,Feb,2,1/1/2001
1998,Brazil,Rio,Feb,0,1/1/1998
2016,Brazil,Rio,Jul,865,1/1/2016
2012,Brazil,Santa Catarina,Jan,14,1/1/2012
2012,Brazil,Maranhao,Oct,5,1/1/2012
2017,Brazil,Acre,Nov,98,1/1/2017
2003,Brazil,Mato Grosso,Jun,170,1/1/2003
2004,Brazil,Minas Gerais,Jan,22,1/1/2004
2001,Brazil,Espirito Santo,May,8,1/1/2001
2017,Brazil,Sergipe,Feb,18,1/1/2017
1999,Brazil,Espirito Santo,Aug,60,1/1/1999
2007,Brazil,Espirito Santo,Jan,0,1/1/2007
2005,Brazil,Para,Nov,4968,1/1/2005
2005,Brazil,Bahia,Sep,4066,1/1/2005
2009,Brazil,Roraima,Mar,176,1/1/2009
2000,Brazil,Ceara,Jul,18,1/1/2000
2003,Brazil,Acre,May,6,1/1/2003
2004,Brazil,Rio,Mar,4,1/1/2004
2007,Brazil,Alagoas,Jul,0,1/1/2007
2012,Brazil,Acre,Oct,348,1/1/2012
2010,Brazil,Amapa,Aug,1,1/1/2010
2002,Brazil,Rio,Jul,17,1/1/2002
2008,Brazil,Santa Catarina,Jul,46,1/1/2008
2001,Brazil,Santa Catarina,Sep,18,1/1/2001
2001,Brazil,Minas Gerais,Jan,18,1/1/2001
2007,Brazil,Acre,Dez,0,1/1/2007
2001,Brazil,Mato Grosso,Dez,143,1/1/2001
2010,Brazil,Piau,Dez,357,1/1/2010
2001,Brazil,Maranhao,Jun,100,1/1/2001
2002,Brazil,Espirito Santo,Nov,22,1/1/2002
2016,Brazil,Minas Gerais,Jun,263,1/1/2016
2007,Brazil,Distrito Federal,Feb,0,1/1/2007
2001,Brazil,Sergipe,Jun,0,1/1/2001
2013,Brazil,Goias,Aug,488,1/1/2013
2013,Brazil,Bahia,May,141,1/1/2013
2004,Brazil,Mato Grosso,Mar,225,1/1/2004
2017,Brazil,Ceara,Apr,6,1/1/2017
1998,Brazil,Para,Oct,3665,1/1/1998
1998,Brazil,Minas Gerais,Jan,0,1/1/1998
2017,Brazil,Paraiba,Apr,1,1/1/2017
2003,Brazil,Pernambuco,Oct,859,1/1/2003
2010,Brazil,Distrito Federal,Jul,85,1/1/2010
2016,Brazil,Paraiba,Feb,4,1/1/2016
2005,Brazil,Sao Paulo,Aug,522,1/1/2005
2007,Brazil,Bahia,Oct,4981,1/1/2007
2005,Brazil,Sergipe,Aug,0,1/1/2005
2009,Brazil,Para,Jul,397,1/1/2009
2010,Brazil,Rio,Feb,12,1/1/2010
2006,Brazil,Rio,Oct,85,1/1/2006
1998,Brazil,Bahia,Feb,0,1/1/1998
2008,Brazil,Mato Grosso,Sep,162,1/1/2008
2001,Brazil,Maranhao,Jul,549,1/1/2001
2011,Brazil,Maranhao,Sep,4632,1/1/2011
1998,Brazil,Amapa,Jan,0,1/1/1998
2006,Brazil,Pernambuco,Aug,8,1/1/2006
2008,Brazil,Amapa,Oct,395,1/1/2008
2004,Brazil,Para,Jan,579,1/1/2004
2002,Brazil,Mato Grosso,Sep,2252,1/1/2002
2007,Brazil,Distrito Federal,May,4,1/1/2007
2010,Brazil,Paraiba,May,10,1/1/2010
2002,Brazil,Rio,Mar,26,1/1/2002
2000,Brazil,Mato Grosso,Jan,326,1/1/2000
2015,Brazil,Mato Grosso,Sep,1482,1/1/2015
2012,Brazil,Mato Grosso,Aug,2951,1/1/2012
2014,Brazil,Amapa,Jan,10,1/1/2014
2002,Brazil,Tocantins,May,138,1/1/2002
2016,Brazil,Bahia,May,259,1/1/2016
2002,Brazil,Rio,Mar,1,1/1/2002
2002,Brazil,Alagoas,Apr,6,1/1/2002
2010,Brazil,Acre,Apr,3,1/1/2010
2011,Brazil,Amapa,Jun,0,1/1/2011
2009,Brazil,Rio,Jan,3,1/1/2009
2007,Brazil,Santa Catarina,Aug,462,1/1/2007
2015,Brazil,Rio,May,4,1/1/2015
2008,Brazil,Paraiba,Aug,205,1/1/2008
1998,Brazil,Rondonia,Jan,0,1/1/1998
2015,Brazil,Distrito Federal,Jan,1,1/1/2015
2003,Brazil,Rio,Apr,2,1/1/2003
2006,Brazil,Sao Paulo,Aug,572,1/1/2006
2016,Brazil,Santa Catarina,Feb,10,1/1/2016
2006,Brazil,Distrito Federal,Aug,40,1/1/2006
2012,Brazil,Espirito Santo,Feb,25,1/1/2012
2008,Brazil,Amapa,Sep,83,1/1/2008
2017,Brazil,Rondonia,Jul,128,1/1/2017
2008,Brazil,Santa Catarina,Aug,51,1/1/2008
1998,Brazil,Paraiba,Apr,0,1/1/1998
2001,Brazil,Paraiba,Oct,209,1/1/2001
2001,Brazil,Goias,Oct,479,1/1/2001
2009,Brazil,Paraiba,Oct,117,1/1/2009
2006,Brazil,Acre,Jan,4,1/1/2006
2004,Brazil,Maranhao,Jul,1366,1/1/2004
2010,Brazil,Rio,Sep,353,1/1/2010
2000,Brazil,Distrito Federal,Jun,1,1/1/2000
2015,Brazil,Sergipe,Mar,49,1/1/2015
2007,Brazil,Amazonas,Oct,215,1/1/2007
2013,Brazil,Mato Grosso,Nov,423,1/1/2013
2015,Brazil,Amapa,Jan,14,1/1/2015
1998,Brazil,Alagoas,Oct,20,1/1/1998
2000,Brazil,Mato Grosso,Mar,23,1/1/2000
2008,Brazil,Maranhao,Sep,2761,1/1/2008
2016,Brazil,Sergipe,Aug,6,1/1/2016
2004,Brazil,Distrito Federal,Mar,0,1/1/2004
2009,Brazil,Amazonas,Jan,9,1/1/2009
2013,Brazil,Amazonas,May,19,1/1/2013
2015,Brazil,Rondonia,Nov,1002,1/1/2015
2011,Brazil,Piau,Aug,1958,1/1/2011
1999,Brazil,Amazonas,Aug,259,1/1/1999
2010,Brazil,Amapa,Sep,63,1/1/2010
2001,Brazil,Espirito Santo,Dez,1,1/1/2001
2010,Brazil,Tocantins,Mar,120,1/1/2010
2013,Brazil,Ceara,Oct,466,1/1/2013
2009,Brazil,Rio,Apr,145,1/1/2009
2010,Brazil,Santa Catarina,Jun,1,1/1/2010
1999,Brazil,Para,Feb,285,1/1/1999
2011,Brazil,Rio,Nov,20,1/1/2011
2009,Brazil,Rio,Oct,18,1/1/2009
2010,Brazil,Amazonas,Jun,9,1/1/2010
2017,Brazil,Sao Paulo,Aug,981,1/1/2017
2001,Brazil,Mato Grosso,Nov,220,1/1/2001
2010,Brazil,Roraima,Jul,1,1/1/2010
2000,Brazil,Santa Catarina,Sep,36,1/1/2000
2001,Brazil,Minas Gerais,Nov,62,1/1/2001
2014,Brazil,Espirito Santo,Nov,20,1/1/2014
2010,Brazil,Distrito Federal,Mar,0,1/1/2010
2003,Brazil,Amapa,Jan,31,1/1/2003
1998,Brazil,Amazonas,Dez,196,1/1/1998
2015,Brazil,Maranhao,Apr,119,1/1/2015
2015,Brazil,Rio,Aug,414,1/1/2015
2012,Brazil,Pernambuco,Sep,192,1/1/2012
2001,Brazil,Bahia,Nov,699,1/1/2001
2000,Brazil,Rio,Jan,0,1/1/2000
2009,Brazil,Acre,Sep,1265,1/1/2009
2005,Brazil,Pernambuco,Mar,45,1/1/2005
2009,Brazil,Ceara,Aug,26,1/1/2009
2012,Brazil,Sergipe,Apr,40,1/1/2012
2004,Brazil,Goias,Jul,778,1/1/2004
2005,Brazil,Rio,Aug,9,1/1/2005
1998,Brazil,Bahia,May,0,1/1/1998
2009,Brazil,Sao Paulo,Jan,12,1/1/2009
1999,Brazil,Piau,Feb,22,1/1/1999
1999,Brazil,Rondonia,Sep,3062,1/1/1999
2010,Brazil,Espirito Santo,Mar,3,1/1/2010
2004,Brazil,Tocantins,Apr,52,1/1/2004
1998,Brazil,Bahia,Mar,0,1/1/1998
